gname,chromosome,orientation,start,end
YAL019W-A,chrI,+,114249,114819
YAL019W,chrI,+,114918,118314
YAL018C,chrI,-,118563,119541
YAL017W,chrI,+,120224,124295
YAL016C-B,chrI,-,124306,124492
YAL016C-A,chrI,-,124754,125069
YAL016W,chrI,+,124878,126786
YAL015C,chrI,-,126902,128102
YAL014C,chrI,-,128251,129019
YAL013W,chrI,+,129269,130487
YAL012W,chrI,+,130798,131983
YAL011W,chrI,+,132198,134076
YAL010C,chrI,-,134183,135665
YAL009W,chrI,+,135853,136633
YAL008W,chrI,+,136913,137510
YAL007C,chrI,-,137697,138345
tP(UGG)A,chrI,+,139151,139254
YAL005C,chrI,-,139502,141431
YAL004W,chrI,+,140759,141407
YAL003W,chrI,+,142173,143160
snR18,chrI,+,142366,142468
YAL002W,chrI,+,143706,147531
YAL001C,chrI,-,147593,151166
YAR002W,chrI,+,152256,153876
YAR002C-A,chrI,-,154064,154724
YAR003W,chrI,+,155004,156285
YAR007C,chrI,-,156753,158619
YAR008W,chrI,+,158965,159793
YAR009C,chrI,-,160596,164187
YAR010C,chrI,-,164543,165866
tA(UGC)A,chrI,+,166266,166339
YAR014C,chrI,-,166741,168871
YAR015W,chrI,+,169374,170295
YAR018C,chrI,-,170395,171703
YAR019C,chrI,-,172210,175135
YAR019W-A,chrI,+,174997,175330
YAR020C,chrI,-,176855,177023
YAR023C,chrI,-,179280,179820
tL(CAA)A,chrI,+,181140,181254
tS(AGA)A,chrI,-,182521,182603
YAR027W,chrI,+,183769,184477
YAR028W,chrI,+,184891,185596
YAR029W,chrI,+,186320,186545
YAR030C,chrI,-,186511,186853
YAR031W,chrI,+,186835,187732
YAR033W,chrI,+,188106,188811
YAR035W,chrI,+,190192,192256
YAR035C-A,chrI,-,192336,192417
YAR042W,chrI,+,192618,196185
YAR047C,chrI,-,201466,201787
YAR050W,chrI,+,203402,208016
YAR053W,chrI,+,208366,208663
YAR060C,chrI,-,217156,217492
YAR061W,chrI,+,218139,218343
YAR062W,chrI,+,218548,219145
YAR064W,chrI,+,220197,220497
YAR066W,chrI,+,221048,221660
YAR068W,chrI,+,222405,222891
YAR069C,chrI,-,224010,224304
YAR070C,chrI,-,224562,224862
YAR071W,chrI,+,225459,226863
YAR073W,chrI,+,227741,228953
YAR075W,chrI,+,228843,229317
YBL113C,chrII,-,279,2658
YBL113W-A,chrII,+,645,1128
YBL112C,chrII,-,2581,2899
YBL111C,chrII,-,2906,5009
YBL109W,chrII,+,5789,6125
YBL108C-A,chrII,-,7604,7733
YBL108W,chrII,+,8176,8482
YBL107W-A,chrII,+,9267,9372
tL(UAA)B1,chrII,+,9582,9666
YBL107C,chrII,-,9960,10551
YBL106C,chrII,-,10846,13879
YBL105C,chrII,-,14240,17696
YBL104C,chrII,-,18176,21293
YBL103C,chrII,-,22075,23536
YBL102W,chrII,+,24097,24745
YBL101C,chrII,-,24945,28299
YBL100W-C,chrII,+,28426,28546
YBL100W-B,chrII,+,29934,35248
YBL100W-A,chrII,+,29934,31251
tF(GAA)B,chrII,+,36397,36488
YBL100C,chrII,-,36988,37303
YBL099W,chrII,+,37052,38690
YBL098W,chrII,+,39144,40527
YBL097W,chrII,+,40830,43095
YBL096C,chrII,-,43173,43482
YBL095W,chrII,+,43276,44089
YBL094C,chrII,-,43764,44097
YBL093C,chrII,-,44255,44918
YBL092W,chrII,+,45977,46370
YBL091C-A,chrII,-,46564,47180
YBL091C,chrII,-,47362,48628
YBL090W,chrII,+,48824,49358
YBL089W,chrII,+,49573,50953
YBL088C,chrII,-,51018,59382
YBL087C,chrII,-,59821,60739
YBL086C,chrII,-,61201,62602
YBL085W,chrII,+,63875,66818
YBL084C,chrII,-,67168,69445
YBL083C,chrII,-,69712,70138
YBL082C,chrII,-,69750,71127
YBL081W,chrII,+,71865,72972
YBL080C,chrII,-,73069,74695
YBL079W,chrII,+,75258,79767
YBL078C,chrII,-,80377,80731
YBL077W,chrII,+,80896,81328
YBL076C,chrII,-,81042,84261
YBL075C,chrII,-,84498,86448
YBL074C,chrII,-,86721,87789
YBL073W,chrII,+,87645,87957
snR56,chrII,+,88189,88277
YBL072C,chrII,-,88522,89125
YBL071C-B,chrII,-,89457,89556
YBL071W-A,chrII,+,89977,90226
YBL071C,chrII,-,90222,90531
YBL070C,chrII,-,90604,90925
YBL069W,chrII,+,90740,92030
YBL068W-A,chrII,+,91793,92030
YBL068W,chrII,+,92413,93394
YBL067C,chrII,-,93638,95882
YBL066C,chrII,-,96668,100115
YBL065W,chrII,+,99962,100307
YBL064C,chrII,-,100370,101156
YBL063W,chrII,+,101885,105221
YBL062W,chrII,+,105307,105688
YBL061C,chrII,-,105315,107406
YBL060W,chrII,+,107931,109995
YBL059C-A,chrII,-,110124,110539
YBL059W,chrII,+,110593,111244
YBL058W,chrII,+,111436,112708
YBL057C,chrII,-,112800,113427
YBL056W,chrII,+,113761,115168
YBL055C,chrII,-,115572,116829
YBL054W,chrII,+,117588,119166
YBL053W,chrII,+,119334,119709
YBL052C,chrII,-,119378,121874
YBL051C,chrII,-,122752,124759
YBL050W,chrII,+,125124,126119
YBL049W,chrII,+,126827,127244
YBL048W,chrII,+,127298,127610
YBL047C,chrII,-,127894,132040
YBL046W,chrII,+,132423,133749
YBL045C,chrII,-,134142,135516
YBL044W,chrII,+,135997,136366
YBL043W,chrII,+,136687,137461
YBL042C,chrII,-,138340,140260
YBL041W,chrII,+,141246,141972
YBL040C,chrII,-,142111,142868
YBL039W-B,chrII,+,143392,143572
YBL039C,chrII,-,143988,145728
YBL039C-A,chrII,-,144947,145031
YBL038W,chrII,+,146186,146885
YBL037W,chrII,+,147208,150286
YBL036C,chrII,-,150446,151220
YBL035C,chrII,-,151492,153610
YBL034C,chrII,-,153847,158389
YBL033C,chrII,-,158655,159693
YBL032W,chrII,+,160183,161329
YBL031W,chrII,+,161698,162715
YBL030C,chrII,-,163040,163997
YBL029C-A,chrII,-,164487,164772
YBL029W,chrII,+,166133,167264
YBL028C,chrII,-,167517,167838
YBL027W,chrII,+,168422,169376
YBL026W,chrII,+,170622,171038
YBL025W,chrII,+,171480,171918
YBL024W,chrII,+,172533,174588
YBL023C,chrII,-,174919,177526
YBL022C,chrII,-,177873,181275
YBL021C,chrII,-,181659,182094
YBL020W,chrII,+,182400,184125
YBL019W,chrII,+,184352,185915
YBL018C,chrII,-,185997,186474
YBL017C,chrII,-,186843,191583
YBL016W,chrII,+,192450,193512
YBL015W,chrII,+,194121,195702
tI(AAU)B,chrII,+,197493,197567
tG(GCC)B,chrII,-,197628,197699
YBL014C,chrII,-,199063,201748
YBL013W,chrII,+,202055,203261
YBL012C,chrII,-,203405,203807
YBL011W,chrII,+,203537,205817
YBL010C,chrII,-,206106,206949
YBL009W,chrII,+,207193,209224
YBL008W-A,chrII,+,209408,209648
YBL008W,chrII,+,209652,212175
YBL007C,chrII,-,212631,216366
YBL006C,chrII,-,216586,217129
YBL006W-A,chrII,+,216710,216860
YBL005W,chrII,+,217469,220400
YBL005W-A,chrII,+,221329,222652
YBL005W-B,chrII,+,221329,226598
tS(AGA)B,chrII,+,227074,227156
YBL004W,chrII,+,227635,235117
YBL003C,chrII,-,235393,235792
YBL002W,chrII,+,236491,236887
YBL001C,chrII,-,237152,237467
YBR001C,chrII,-,238940,241283
YBR002C,chrII,-,241707,242568
YBR003W,chrII,+,242808,244230
YBR004C,chrII,-,244365,245667
YBR005W,chrII,+,245905,246547
YBR006W,chrII,+,247009,248503
YBR007C,chrII,-,248805,251016
YBR008C,chrII,-,252562,254209
YBR009C,chrII,-,255372,255684
YBR010W,chrII,+,256330,256741
YBR011C,chrII,-,257111,257975
YBR012C,chrII,-,259146,259566
YBR012W-A,chrII,+,259868,261191
YBR012W-B,chrII,+,259868,265140
YBR013C,chrII,-,265491,265881
tT(AGU)B,chrII,+,266377,266450
YBR014C,chrII,-,266724,267336
YBR015C,chrII,-,267709,269503
YBR016W,chrII,+,270246,270633
YBR017C,chrII,-,270946,273703
YBR018C,chrII,-,274426,275527
YBR019C,chrII,-,276252,278352
YBR020W,chrII,+,279020,280607
YBR021W,chrII,+,281442,283344
YBR022W,chrII,+,283737,284271
YBR023C,chrII,-,284427,287925
YBR024W,chrII,+,289444,290350
YBR025C,chrII,-,290680,291865
YBR026C,chrII,-,292876,294019
YBR027C,chrII,-,294023,294356
YBR028C,chrII,-,294424,296002
YBR029C,chrII,-,296368,297742
YBR030W,chrII,+,298291,299950
YBR031W,chrII,+,300165,301254
YBR032W,chrII,+,301518,301821
YBR033W,chrII,+,301943,304703
YBR034C,chrII,-,304929,305976
YBR035C,chrII,-,306268,306955
snR161,chrII,-,307184,307345
TLC1,chrII,+,307586,308887
YBR036C,chrII,-,309080,310313
YBR037C,chrII,-,310564,311452
YBR038W,chrII,+,311897,314789
YBR039W,chrII,+,315574,316510
YBR040W,chrII,+,316967,317864
YBR041W,chrII,+,318265,320275
YBR042C,chrII,-,320415,321609
YBR043C,chrII,-,321875,323945
YBR044C,chrII,-,324340,326059
tV(UAC)B,chrII,-,326791,326865
YBR045C,chrII,-,328172,330092
YBR046C,chrII,-,330506,331511
YBR047W,chrII,+,331832,332360
YBR048W,chrII,+,332830,333812
YBR049C,chrII,-,334385,336818
YBR050C,chrII,-,337182,338199
YBR051W,chrII,+,337987,338338
YBR052C,chrII,-,338719,339352
YBR053C,chrII,-,339674,340751
YBR054W,chrII,+,343100,344135
YBR055C,chrII,-,344601,347301
tL(UAA)B2,chrII,+,347602,347686
YBR056W,chrII,+,347878,349384
tQ(UUG)B,chrII,+,350826,350898
YBR056W-A,chrII,+,351254,351455
YBR056C-B,chrII,-,351292,351451
YBR057C,chrII,-,352192,353293
YBR058C,chrII,-,353671,356017
YBR058C-A,chrII,-,356323,356566
YBR059C,chrII,-,356860,360187
YBR060C,chrII,-,360651,362514
YBR061C,chrII,-,364786,365719
YBR062C,chrII,-,365975,366600
YBR063C,chrII,-,366969,368184
YBR064W,chrII,+,367762,368191
YBR065C,chrII,-,368583,369678
YBR066C,chrII,-,370036,370699
YBR067C,chrII,-,372102,372735
YBR068C,chrII,-,373860,375690
YBR069C,chrII,-,376573,378433
YBR070C,chrII,-,379220,379934
YBR071W,chrII,+,380410,381046
YBR072W,chrII,+,382029,382674
YBR072C-A,chrII,-,382859,383021
YBR073W,chrII,+,383111,385988
YBR074W,chrII,+,386285,389216
YBR076W,chrII,+,390226,391291
YBR076C-A,chrII,-,391350,391617
YBR077C,chrII,-,391804,392293
YBR078W,chrII,+,393122,394742
YBR079C,chrII,-,395382,398277
YBR080C,chrII,-,398613,400890
YBR081C,chrII,-,401252,405251
tR(UCU)B,chrII,+,405877,405949
tD(GUC)B,chrII,+,405959,406031
YBR082C,chrII,-,406627,407169
YBR083W,chrII,+,409168,410629
YBR084W,chrII,+,411053,413981
YBR084C-A,chrII,-,414185,415261
YBR085W,chrII,+,415982,416906
YBR085C-A,chrII,-,418906,419164
YBR086C,chrII,-,420200,423041
YBR087W,chrII,+,423764,424829
YBR088C,chrII,-,424989,425766
YBR089W,chrII,+,425182,425782
YBR089C-A,chrII,-,426189,426489
YBR090C,chrII,-,426332,427058
YBR091C,chrII,-,427154,427484
YBR092C,chrII,-,427697,429101
YBR093C,chrII,-,429547,430951
YBR094W,chrII,+,432035,434297
YBR095C,chrII,-,434405,435698
YBR096W,chrII,+,436020,436713
YBR097W,chrII,+,436950,441315
YBR098W,chrII,+,441514,443590
YBR099C,chrII,-,442923,443307
YBR101C,chrII,-,443820,444693
YBR102C,chrII,-,445061,447323
YBR103W,chrII,+,447708,449316
YBR103C-A,chrII,-,449319,449463
YBR104W,chrII,+,449666,450656
YBR105C,chrII,-,450880,451969
YBR106W,chrII,+,452657,453224
YBR107C,chrII,-,453792,454530
YBR108W,chrII,+,454821,457665
YBR109C,chrII,-,457918,458362
YBR109W-A,chrII,+,458607,458832
YBR110W,chrII,+,458871,460221
YBR111C,chrII,-,461177,461873
YBR111W-A,chrII,+,462138,462579
YBR112C,chrII,-,462869,465770
YBR113W,chrII,+,465565,466048
YBR114W,chrII,+,467247,469620
YBR115C,chrII,-,469747,473926
YBR116C,chrII,-,474198,474726
YBR117C,chrII,-,474391,476437
YBR118W,chrII,+,477670,479047
YBR119W,chrII,+,479337,480323
YBR120C,chrII,-,480434,480923
YBR121C,chrII,-,481363,483367
YBR121C-A,chrII,-,482325,482484
YBR122C,chrII,-,483969,484503
YBR123C,chrII,-,484741,486691
YBR124W,chrII,+,486506,486866
YBR125C,chrII,-,487198,488380
YBR126C,chrII,-,488904,490392
YBR126W-A,chrII,+,490849,491056
YBR126W-B,chrII,+,490926,491070
YBR127C,chrII,-,491268,492822
YBR128C,chrII,-,493080,494115
YBR129C,chrII,-,494352,495339
YBR130C,chrII,-,495591,496869
YBR131W,chrII,+,497162,499277
YBR131C-A,chrII,-,497649,497739
YBR132C,chrII,-,499651,501442
YBR133C,chrII,-,501803,504287
YBR134W,chrII,+,504242,504644
YBR135W,chrII,+,504853,505306
YBR136W,chrII,+,505667,512774
YBR137W,chrII,+,513043,513583
YBR138C,chrII,-,513761,515336
YBR139W,chrII,+,515663,517190
YBR140C,chrII,-,517349,526628
YBR141C,chrII,-,527024,528038
YBR141W-A,chrII,+,527166,527262
YBR142W,chrII,+,528316,530638
YBR143C,chrII,-,530868,532182
YBR144C,chrII,-,533234,533549
YBR145W,chrII,+,533761,534817
YBR146W,chrII,+,535259,536096
YBR147W,chrII,+,536574,537465
YBR148W,chrII,+,537875,539705
YBR149W,chrII,+,539986,541021
YBR150C,chrII,-,541208,544493
YBR151W,chrII,+,545027,545978
YBR152W,chrII,+,546375,547251
YBR153W,chrII,+,547459,548194
YBR154C,chrII,-,548361,549009
YBR155W,chrII,+,549770,550928
YBR156C,chrII,-,551103,553200
YBR157C,chrII,-,553542,554310
YBR158W,chrII,+,556548,558198
YBR159W,chrII,+,558684,559728
YBR160W,chrII,+,560077,560974
YBR161W,chrII,+,561633,562764
YBR162C,chrII,-,563202,564570
YBR162W-A,chrII,+,565230,565428
YBR163W,chrII,+,565722,567480
YBR164C,chrII,-,567874,568426
YBR165W,chrII,+,568851,569685
YBR166C,chrII,-,569841,571200
YBR167C,chrII,-,571467,571890
YBR168W,chrII,+,572370,573612
YBR169C,chrII,-,573914,575996
YBR170C,chrII,-,576343,578086
YBR171W,chrII,+,578363,578984
YBR172C,chrII,-,579149,581372
YBR173C,chrII,-,581725,582172
YBR174C,chrII,-,582337,582652
YBR175W,chrII,+,582407,583355
YBR176W,chrII,+,583719,584658
YBR177C,chrII,-,584806,586162
YBR178W,chrII,+,586070,586445
YBR179C,chrII,-,586546,589114
YBR180W,chrII,+,589740,591459
YBR181C,chrII,-,591711,592774
YBR182C,chrII,-,593505,594864
YBR182C-A,chrII,-,595360,595555
YBR183W,chrII,+,596114,597065
YBR184W,chrII,+,597362,598934
YBR185C,chrII,-,599122,599959
YBR186W,chrII,+,600552,602360
YBR187W,chrII,+,602633,603476
YBR188C,chrII,-,603684,604107
YBR189W,chrII,+,604507,605508
YBR190W,chrII,+,605965,606277
YBR191W,chrII,+,606269,607140
YBR191W-A,chrII,+,607148,607223
YBR192W,chrII,+,607651,608785
YBR193C,chrII,-,609081,609753
YBR194W,chrII,+,610037,610409
YBR195C,chrII,-,610613,611882
YBR196C,chrII,-,612235,613900
YBR196C-A,chrII,-,614023,614173
YBR196C-B,chrII,-,614525,614630
YBR197C,chrII,-,615202,615856
YBR198C,chrII,-,616126,618523
YBR199W,chrII,+,618908,620303
YBR200W,chrII,+,620871,622527
YBR200W-A,chrII,+,622982,623147
YBR201W,chrII,+,623575,624211
YBR201C-A,chrII,-,624492,624696
YBR202W,chrII,+,625771,628309
YBR203W,chrII,+,629167,631942
YBR204C,chrII,-,632253,633381
YBR205W,chrII,+,633621,634836
YBR206W,chrII,+,634600,634924
YBR207W,chrII,+,635145,636543
YBR208C,chrII,-,636702,642210
YBR209W,chrII,+,642582,642900
tC(GCA)B,chrII,-,643006,643078
tE(UUC)B,chrII,+,645166,645238
YBR210W,chrII,+,645549,645978
YBR211C,chrII,-,646157,647132
YBR212W,chrII,+,647885,649904
YBR213W,chrII,+,650367,651192
YBR214W,chrII,+,651414,652998
YBR215W,chrII,+,653355,655317
YBR216C,chrII,-,655575,657600
YBR217W,chrII,+,657831,658392
YBR218C,chrII,-,658706,662249
YBR219C,chrII,-,662498,663303
YBR220C,chrII,-,662994,664677
YBR221C,chrII,-,665152,666253
YBR221W-A,chrII,+,666537,666642
YBR222C,chrII,-,666719,668351
YBR223C,chrII,-,668662,670297
YBR223W-A,chrII,+,668720,668840
YBR224W,chrII,+,670124,670640
YBR225W,chrII,+,670626,673329
YBR226C,chrII,-,673154,673565
YBR227C,chrII,-,673571,675134
YBR228W,chrII,+,675312,676227
YBR229C,chrII,-,676356,679221
YBR230C,chrII,-,679548,680050
YBR230W-A,chrII,+,680361,680562
LSR1,chrII,-,680687,681862
YBR231C,chrII,-,682178,683090
YBR232C,chrII,-,683372,683732
YBR233W,chrII,+,683427,684669
YBR233W-A,chrII,+,684976,685261
YBR234C,chrII,-,685437,686592
YBR235W,chrII,+,686900,690263
YBR236C,chrII,-,690382,691693
YBR237W,chrII,+,691968,694518
YBR238C,chrII,-,695106,697302
YBR239C,chrII,-,698353,699943
YBR240C,chrII,-,700489,701842
YBR241C,chrII,-,702588,704055
YBR242W,chrII,+,704669,705386
YBR243C,chrII,-,705446,706793
YBR244W,chrII,+,707527,708016
YBR245C,chrII,-,708149,711539
YBR246W,chrII,+,711590,712754
YBR247C,chrII,-,713003,714455
YBR248C,chrII,-,714806,716465
YBR249C,chrII,-,716881,717994
YBR250W,chrII,+,719032,720604
YBR251W,chrII,+,721389,722313
YBR252W,chrII,+,722610,723054
YBR253W,chrII,+,723269,723635
YBR254C,chrII,-,723735,724263
YBR255W,chrII,+,724455,726540
YBR255C-A,chrII,-,726617,727074
YBR256C,chrII,-,727385,728102
YBR257W,chrII,+,728884,729724
YBR258C,chrII,-,729733,730162
YBR259W,chrII,+,730386,732453
YBR260C,chrII,-,732638,734639
YBR261C,chrII,-,734831,735530
YBR262C,chrII,-,735719,736040
YBR263W,chrII,+,736263,737736
YBR264C,chrII,-,737769,738369
YBR265W,chrII,+,738581,739544
YBR267W,chrII,+,739840,741022
YBR266C,chrII,-,739935,740388
YBR268W,chrII,+,741298,741616
YBR269C,chrII,-,742159,742576
YBR270C,chrII,-,742760,744398
YBR271W,chrII,+,744851,746111
YBR272C,chrII,-,746360,747803
YBR273C,chrII,-,748060,749371
YBR274W,chrII,+,749593,751177
YBR275C,chrII,-,751355,757106
YBR276C,chrII,-,757619,760043
YBR277C,chrII,-,760214,760616
YBR278W,chrII,+,760293,760899
YBR279W,chrII,+,761256,762594
YBR280C,chrII,-,762783,764697
YBR281C,chrII,-,764969,767606
YBR282W,chrII,+,768239,768680
YBR283C,chrII,-,768942,770415
YBR284W,chrII,+,771238,773632
YBR285W,chrII,+,773921,774356
YBR286W,chrII,+,774699,776313
YBR287W,chrII,+,776570,777854
YBR288C,chrII,-,778011,779463
YBR289W,chrII,+,779666,782384
YBR290W,chrII,+,782590,783556
YBR291C,chrII,-,783672,784572
YBR292C,chrII,-,784701,785073
YBR293W,chrII,+,787005,788430
YBR294W,chrII,+,789234,791814
YBR295W,chrII,+,792848,796499
YBR296C,chrII,-,796797,798522
YBR296C-A,chrII,-,800122,800242
YBR297W,chrII,+,800522,801929
YBR298C,chrII,-,802630,804475
YBR298C-A,chrII,-,805034,805256
YBR299W,chrII,+,805350,807105
YBR300C,chrII,-,808599,809097
YBR301W,chrII,+,809056,809419
YBR302C,chrII,-,810339,811479
YCL076W,chrIII,+,1391,2135
YCL075W,chrIII,+,2125,2566
YCL074W,chrIII,+,2823,3750
YCL073C,chrIII,-,6478,8326
YCL069W,chrIII,+,9705,11082
YCL068C,chrIII,-,11502,12285
YCL067C,chrIII,-,12385,13018
YCL066W,chrIII,+,13281,13809
YCL065W,chrIII,+,13750,14119
YCL064C,chrIII,-,15797,16880
YCL063W,chrIII,+,17289,18561
YCL061C,chrIII,-,18815,22106
YCL059C,chrIII,-,22428,23379
YCL058C,chrIII,-,23522,23981
YCL058W-A,chrIII,+,23583,23925
YCL057C-A,chrIII,-,24031,24325
YCL057W,chrIII,+,24767,26906
YCL056C,chrIII,-,26924,27359
YCL055W,chrIII,+,27928,28936
YCL054W,chrIII,+,31448,33974
YCL052C,chrIII,-,34142,35393
YCL051W,chrIII,+,35864,37616
YCL050C,chrIII,-,37835,38801
YCL049C,chrIII,-,39785,40724
YCL048W-A,chrIII,+,41487,41727
YCL048W,chrIII,+,42164,43556
YCL047C,chrIII,-,43660,44437
YCL045C,chrIII,-,44622,46905
YCL046W,chrIII,+,46639,46963
YCL044C,chrIII,-,47110,48364
YCL043C,chrIII,-,48652,50221
YCL041C,chrIII,-,50132,50627
YCL042W,chrIII,+,50583,50943
YCL040W,chrIII,+,50837,52340
YCL039W,chrIII,+,52644,54882
YCL038C,chrIII,-,54940,56527
YCL037C,chrIII,-,57373,58678
YCL036W,chrIII,+,59025,60726
YCL035C,chrIII,-,60840,61173
YCL034W,chrIII,+,61657,62722
YCL033C,chrIII,-,62775,63282
YCL032W,chrIII,+,63440,64481
YCL031C,chrIII,-,64674,65568
YCL030C,chrIII,-,65933,68333
YCL029C,chrIII,-,68598,69921
YCL028W,chrIII,+,70149,71367
YCL027W,chrIII,+,71802,73341
YCL026C-B,chrIII,-,73404,73986
YCL026C-A,chrIII,-,74703,75285
YCL025C,chrIII,-,76017,77919
YCL023C,chrIII,-,78948,79296
YCL024W,chrIII,+,79161,82275
YCL022C,chrIII,-,81569,82085
tE(UUC)C,chrIII,-,82461,82533
YCL021W-A,chrIII,+,83619,83997
YCL019W,chrIII,+,85101,90415
YCL020W,chrIII,+,85101,86418
tL(CAA)C,chrIII,+,90858,90972
YCL018W,chrIII,+,91323,92418
YCL017C,chrIII,-,92776,94270
YCL016C,chrIII,-,94620,95763
YCL014W,chrIII,+,96280,101191
YCL012C,chrIII,-,101316,101788
YCL011C,chrIII,-,102074,103358
YCL010C,chrIII,-,103570,104350
YCL009C,chrIII,-,104618,105548
YCL008C,chrIII,-,105695,106853
YCL007C,chrIII,-,106973,107366
YCL005W-A,chrIII,+,107022,107417
snR43,chrIII,-,107503,107712
YCL005W,chrIII,+,108020,108791
YCL004W,chrIII,+,109104,110670
YCL002C,chrIII,-,110807,111675
YCL001W,chrIII,+,111915,112482
YCL001W-A,chrIII,+,113079,113541
YCL001W-B,chrIII,+,113769,114024
YCR001W,chrIII,+,115684,115999
YCR002C,chrIII,-,117379,118348
YCR003W,chrIII,+,118619,119171
YCR004C,chrIII,-,119574,120318
YCR005C,chrIII,-,120945,122328
YCR006C,chrIII,-,122529,123003
tP(AGG)C,chrIII,-,123576,123648
YCR007C,chrIII,-,126010,126730
tN(GUU)C,chrIII,+,127715,127789
YCR008W,chrIII,+,128469,130281
YCR009C,chrIII,-,130744,131542
YCR010C,chrIII,-,132272,133124
YCR011C,chrIII,-,133723,136873
YCR012W,chrIII,+,137745,138996
YCR013C,chrIII,-,138401,139049
YCR014C,chrIII,-,139184,140933
YCR015C,chrIII,-,141216,142170
snR33,chrIII,-,142363,142546
tG(GCC)C,chrIII,-,142700,142771
YCR016W,chrIII,+,143633,144506
YCR017C,chrIII,-,144772,147634
YCR018C,chrIII,-,148237,148903
tM(CAU)C,chrIII,+,149919,149991
tK(CUU)C,chrIII,-,151283,151356
YCR018C-A,chrIII,-,151607,151862
YCR019W,chrIII,+,152836,153928
YCR020C,chrIII,-,154011,154659
YCR020C-A,chrIII,-,154829,155096
YCR020W-B,chrIII,+,155319,155556
YCR021C,chrIII,-,156108,157107
YCR022C,chrIII,-,157420,157765
YCR023C,chrIII,-,158537,160373
YCR024C,chrIII,-,160743,162222
YCR024C-B,chrIII,-,162598,162865
YCR024C-A,chrIII,-,162944,163067
YCR025C,chrIII,-,163445,163856
YCR026C,chrIII,-,164110,166339
YCR027C,chrIII,-,167369,167999
tQ(UUG)C,chrIII,-,168300,168372
YCR028C,chrIII,-,170885,172424
YCR028C-A,chrIII,-,172949,173440
YCR030C,chrIII,-,173825,176438
snR65,chrIII,+,177182,177282
YCR031C,chrIII,-,177499,178220
snR189,chrIII,-,178609,178798
YCR032W,chrIII,+,179519,186023
YCR033W,chrIII,+,186488,190169
YCR034W,chrIII,+,190591,191635
YCR035C,chrIII,-,191833,193018
YCR036W,chrIII,+,193296,194298
YCR037C,chrIII,-,194413,197185
YCR038C,chrIII,-,197620,199549
YCR038W-A,chrIII,+,199292,199418
YCR039C,chrIII,-,199545,200178
YCR040W,chrIII,+,200441,200969
YCR041W,chrIII,+,200910,201243
YCR042C,chrIII,-,201173,205397
YCR043C,chrIII,-,206260,206644
YCR044C,chrIII,-,206876,207950
YCR045C,chrIII,-,208134,209610
YCR045W-A,chrIII,+,208750,209101
YCR046C,chrIII,-,209913,210423
YCR047C,chrIII,-,210717,211545
YCR047W-A,chrIII,+,211300,211507
YCR049C,chrIII,-,211870,212317
YCR048W,chrIII,+,211928,213761
YCR050C,chrIII,-,213463,213772
YCR051W,chrIII,+,214070,214739
YCR052W,chrIII,+,214993,216445
YCR053W,chrIII,+,216696,218241
YCR054C,chrIII,-,218375,220067
YCR057C,chrIII,-,220456,223228
