ENSG,chromosome,orientation,gname,start,end
ENSG00000171992,chr5,+,SYNPO,150601080,150659220
ENSG00000111875,chr6,+,ASF1A,118894220,118909167
ENSG00000174325,chr2,-,DIRC1,188734155,188790104
ENSG00000043355,chr13,+,ZIC2,99981772,99986773
ENSG00000181915,chr10,+,ADO,62804857,62808483
ENSG00000143450,chr1,+,OAZ3,151762899,151771334
ENSG00000101981,chrX,+,F9,139530758,139563458
ENSG00000100297,chr22,+,MCM5,35400063,35425430
ENSG00000160588,chr11,-,MPZL3,118226690,118252350
ENSG00000115255,chr19,+,REEP6,1490747,1497927
ENSG00000170276,chr11,+,HSPB2,111912242,111914093
ENSG00000243244,chr2,+,STON1,48529383,48598513
ENSG00000186280,chr11,+,KDM4D,94973681,94999518
ENSG00000179919,chr12,+,OR10A7,55221025,55221975
ENSG00000113296,chr5,+,THBS4,79991311,80083287
ENSG00000117475,chr1,+,BLZF1,169367970,169396540
ENSG00000185189,chr8,-,NRBP2,143833594,143840974
ENSG00000086205,chr11,-,FOLH1,49146635,49208670
ENSG00000147454,chr8,+,SLC25A37,23528805,23575463
ENSG00000141562,chr17,+,NARF,82458180,82490537
ENSG00000073910,chr13,+,FRY,32031300,32299122
ENSG00000196975,chr2,+,ANXA4,69644425,69827100
ENSG00000154114,chr11,+,TBCEL,121024072,121090775
ENSG00000232040,chr6,-,ZBED9,28571630,28616212
ENSG00000128652,chr2,+,HOXD3,176136612,176173102
ENSG00000125434,chr17,-,SLC25A35,8287763,8295343
ENSG00000151458,chr4,-,ANKRD50,124664052,124712732
ENSG00000105880,chr7,-,DLX5,97020392,97025097
ENSG00000102893,chr16,+,PHKB,47461123,47701523
ENSG00000186063,chr1,-,AIDA,222668013,222713210
ENSG00000170681,chr9,+,MURC,100578079,100587906
ENSG00000066405,chr3,+,CLDN18,137998735,138033655
ENSG00000205279,chr5,+,CTXN3,127649044,127658630
ENSG00000166676,chr16,-,TVP23A,10760919,10818794
ENSG00000105137,chr19,+,SYDE1,15107403,15114988
ENSG00000205643,chr22,-,CDPF1,46244011,46250679
ENSG00000116675,chr1,+,DNAJC6,65248219,65415869
ENSG00000167081,chr9,+,PBX3,125747345,125967377
ENSG00000081791,chr5,+,KIAA0141,141923808,141942047
ENSG00000173221,chr5,-,GLRX,95751319,95823005
ENSG00000170959,chr11,-,DCDC1,30830369,31369810
ENSG00000172457,chr11,-,OR9G4,56742827,56743811
ENSG00000140367,chr15,+,UBE2Q2,75843285,75901078
ENSG00000087302,chr14,+,C14orf166,51989475,52010691
ENSG00000184500,chr3,-,PROS1,93873033,93974066
ENSG00000167088,chr18,+,SNRPD1,21612267,21633524
ENSG00000021826,chr2,+,CPS1,210477682,210679107
ENSG00000166501,chr16,+,PRKCB,23836001,24220611
ENSG00000176986,chr10,+,SEC24C,73744384,73772161
ENSG00000143727,chr2,+,ACP1,264140,278283
ENSG00000111859,chr6,-,NEDD9,11183298,11382348
ENSG00000169871,chr7,+,TRIM56,101085439,101097967
ENSG00000213965,chr19,+,NUDT19,32691961,32713796
ENSG00000159189,chr1,+,C1QC,22643630,22648110
ENSG00000186943,chr9,+,OR13C8,104569168,104570130
ENSG00000120658,chr13,-,ENOX1,43213518,43786908
ENSG00000134759,chr18,+,ELP2,36129444,36180556
ENSG00000115970,chr2,-,THADA,43230836,43596046
ENSG00000204604,chr19,-,ZNF468,52838008,52857649
ENSG00000100220,chr22,-,RTCB,32387582,32412255
ENSG00000142538,chr19,-,PTH2,49422414,49423441
ENSG00000091704,chr7,+,CPA1,130380339,130388114
ENSG00000164675,chr7,-,IQUB,123452400,123535077
ENSG00000078114,chr10,-,NEBL,20779973,21174187
ENSG00000170923,chr19,-,OR7G2,9102269,9103306
ENSG00000125999,chr20,+,BPIFB1,33273480,33309878
ENSG00000091129,chr7,-,NRCAM,108147623,108456717
ENSG00000182541,chr22,+,LIMK2,31212239,31280080
ENSG00000204611,chr19,-,ZNF616,52113091,52139922
ENSG00000099949,chr22,+,LZTR1,20979462,20999038
ENSG00000212710,chr18,-,CTAGE1,22413601,22417915
ENSG00000118402,chr6,-,ELOVL4,79914812,79947580
ENSG00000150712,chr5,-,MTMR12,32226994,32313009
ENSG00000136378,chr15,-,ADAMTS7,78759203,78811431
ENSG00000187922,chr9,-,LCN10,136738167,136743356
ENSG00000113273,chr5,-,ARSB,78777209,78986087
ENSG00000205642,chrX,+,VCX3B,8464830,8466510
ENSG00000112299,chr6,-,VNN1,132681590,132714049
ENSG00000180660,chr13,-,MAB21L1,35474182,35477209
ENSG00000164458,chr6,-,T,166157656,166168700
ENSG00000158987,chr5,-,RAPGEF6,131423921,131635236
ENSG00000180871,chr2,+,CXCR2,218125289,218137253
ENSG00000102468,chr13,-,HTR2A,46831550,46897076
ENSG00000002330,chr11,-,BAD,64269830,64284704
ENSG00000137077,chr9,-,CCL21,34709005,34710124
ENSG00000136688,chr2,+,IL36G,112973203,112985665
ENSG00000144031,chr2,+,ANKRD53,70978380,70985499
ENSG00000167965,chr16,+,MLST8,2204248,2209416
ENSG00000109606,chr4,-,DHX15,24517441,24584550
ENSG00000197343,chr7,+,ZNF655,99558406,99576453
ENSG00000169629,chr2,-,RGPD8,112370092,112434488
ENSG00000129667,chr17,-,RHBDF2,76470891,76501790
ENSG00000173908,chr17,-,KRT28,40792203,40799959
ENSG00000141446,chr18,-,ESCO1,21529281,21600884
ENSG00000177943,chr9,+,MAMDC4,136850943,136860799
ENSG00000055957,chr3,+,ITIH1,52777592,52792068
ENSG00000129009,chr15,+,ISLR,74173671,74176872
ENSG00000136235,chr7,+,GPNMB,23235967,23275108
ENSG00000133812,chr11,-,SBF2,9778667,10294207
ENSG00000177051,chr19,-,FBXO46,45710629,45730904
ENSG00000142661,chr1,-,MYOM3,24056035,24112175
ENSG00000100490,chr14,-,CDKL1,50329404,50416461
ENSG00000165006,chr9,+,UBAP1,34179005,34252523
ENSG00000132561,chr8,+,MATN2,97868840,98036716
ENSG00000188612,chr17,-,SUMO2,75165586,75182983
ENSG00000110025,chr11,+,SNX15,65027408,65040572
ENSG00000171388,chrX,-,APLN,129645259,129654937
ENSG00000205846,chr12,+,CLEC6A,8455926,8478330
ENSG00000054148,chr9,+,PHPT1,136848724,136851027
ENSG00000139433,chr12,-,GLTP,109850943,109880488
ENSG00000140067,chr14,+,FAM181A,93918894,93929608
ENSG00000198930,chrX,-,CSAG1,152727484,152733735
ENSG00000128833,chr15,-,MYO5C,52192322,52295798
ENSG00000144655,chr3,-,CSRNP1,39141855,39154562
ENSG00000142615,chr1,+,CELA2A,15456728,15472091
ENSG00000172940,chr3,+,SLC22A13,38265812,38278315
ENSG00000115020,chr2,+,PIKFYVE,208266267,208358751
ENSG00000160219,chrX,-,GAB3,154675249,154751583
ENSG00000132478,chr17,+,UNK,75784771,75825799
ENSG00000119537,chr18,-,KDSR,63327726,63367510
ENSG00000080910,chr1,+,CFHR2,196943772,196959226
ENSG00000169764,chr2,+,UGP2,63840940,63891562
ENSG00000228607,chr11,+,CLDN25,113779747,113780500
ENSG00000196600,chr11,-,SLC22A25,63163776,63229652
ENSG00000078124,chr11,+,ACER3,76860867,77026797
ENSG00000148136,chr9,-,OR13C4,104526253,104527209
ENSG00000187758,chr4,-,ADH1A,99276367,99291028
ENSG00000169059,chrX,-,VCX3A,6533618,6535118
ENSG00000151364,chr11,-,KCTD14,78015715,78046191
ENSG00000163701,chr3,+,IL17RE,9902612,9916402
ENSG00000166503,chr15,-,RP11-382A20.3,83112738,83208018
ENSG00000091137,chr7,+,SLC26A4,107660635,107717809
ENSG00000082269,chr6,+,FAM135A,70412941,70561174
ENSG00000048649,chr11,-,RSF1,77659996,77821017
ENSG00000153815,chr16,+,CMIP,81445170,81711762
ENSG00000138496,chr3,-,PARP9,122527924,122564577
ENSG00000143183,chr1,-,TMCO1,165724293,165827755
ENSG00000164500,chr7,+,C7orf72,50096036,50159830
ENSG00000127564,chr16,-,PKMYT1,2968024,2980539
ENSG00000119421,chr9,-,NDUFA8,122144058,122159819
ENSG00000074181,chr19,-,NOTCH3,15159038,15200981
ENSG00000105492,chr19,-,SIGLEC6,51519525,51531856
ENSG00000132330,chr2,+,SCLY,238060889,238099413
ENSG00000113272,chr5,+,THG1L,157731197,157741448
ENSG00000279051,chr11,+,OR6Q1,58030930,58031931
ENSG00000256162,chr6,+,SMLR1,130827406,130837135
ENSG00000087074,chr19,+,PPP1R15A,48872392,48876057
ENSG00000071127,chr4,-,WDR1,10074339,10116949
ENSG00000189326,chrX,+,SPANXN4,143025918,143034702
ENSG00000170873,chr8,-,MTSS1,124550790,124728429
ENSG00000132467,chr4,+,UTP3,70688479,70690551
ENSG00000214827,chrX,-,MTCP1,155061622,155147937
ENSG00000110777,chr11,-,POU2AF1,111352252,111455630
ENSG00000057149,chr18,-,SERPINB3,63637719,63661963
ENSG00000197937,chr19,-,ZNF347,53124072,53159075
ENSG00000150783,chr11,+,TEX12,112167372,112172559
ENSG00000156973,chr2,-,PDE6D,231732425,231786272
ENSG00000230031,chr15,-,POTEB2,20835372,20866314
ENSG00000167461,chr19,+,RAB8A,16111629,16134234
ENSG00000205978,chr14,+,NYNRIN,24398786,24419288
ENSG00000237671,chrX,+,GAGE12C,49532211,49539538
ENSG00000182798,chrX,+,MAGEB17,16167481,16171464
ENSG00000186815,chr12,+,TPCN1,113221050,113298585
ENSG00000112787,chr12,+,FBRSL1,132489551,132585188
ENSG00000172568,chr5,-,FNDC9,157341600,157345721
ENSG00000184163,chr1,-,FAM132A,1242446,1246722
ENSG00000272398,chr6,-,CD24,106969831,106975627
ENSG00000137094,chr9,+,DNAJB5,34989641,34998900
ENSG00000173585,chr3,+,CCR9,45886504,45903177
ENSG00000141428,chr18,+,C18orf21,35972083,35979286
ENSG00000182287,chrX,-,AP1S2,15825806,15855014
ENSG00000170537,chr16,+,TMC7,18983934,19063942
ENSG00000176472,chr19,+,ZNF575,43525497,43536130
ENSG00000165169,chrX,-,DYNLT3,37836757,37847637
ENSG00000164074,chr4,+,ABHD18,127965306,128039711
ENSG00000255072,chr4,-,PIGY,88521573,88521789
ENSG00000083807,chr19,-,SLC27A5,58479512,58512413
ENSG00000175093,chr3,+,SPSB4,141051402,141148611
ENSG00000181143,chr19,-,MUC16,8848844,8981342
ENSG00000165675,chrX,-,ENOX2,130623369,130903317
ENSG00000188816,chr10,+,HMX2,123148122,123150672
ENSG00000145088,chr3,+,EAF2,121835183,121886526
ENSG00000143632,chr1,-,ACTA1,229431245,229434098
ENSG00000169715,chr16,+,MT1E,56625475,56627112
ENSG00000120686,chr13,+,UFM1,38349849,38363619
ENSG00000107020,chr9,-,PLGRKT,5357973,5437878
ENSG00000151876,chr5,+,FBXO4,41925254,41941743
ENSG00000254004,chr19,-,ZNF260,36510695,36528660
ENSG00000172831,chr16,+,CES2,66934444,66945096
ENSG00000188620,chr10,+,HMX3,123135962,123137741
ENSG00000116497,chr1,+,S100PBP,32816767,32858879
ENSG00000169064,chr3,-,ZBBX,167240287,167381346
ENSG00000182256,chr15,+,GABRG3,26971282,27541991
ENSG00000157827,chr2,+,FMNL2,152335237,152649834
ENSG00000005249,chr7,+,PRKAR2B,107044649,107161811
ENSG00000234776,chr11,-,C11orf94,45906513,45907282
ENSG00000143297,chr1,-,FCRL5,157513377,157552520
ENSG00000146802,chr7,-,TMEM168,112762382,112790592
ENSG00000168883,chr2,+,USP39,85602856,85649282
ENSG00000171659,chrX,+,GPR34,41688973,41697277
ENSG00000175745,chr5,+,NR2F1,93583337,93594615
ENSG00000175893,chr9,-,ZDHHC21,14611071,14693471
ENSG00000178562,chr2,+,CD28,203706475,203738912
ENSG00000100348,chr22,-,TXN2,36467036,36482030
ENSG00000164100,chr4,+,NDST3,118033618,118258648
ENSG00000196209,chr20,-,SIRPB2,1470741,1491587
ENSG00000137801,chr15,+,THBS1,39581079,39599466
ENSG00000164082,chr3,+,GRM2,51707070,51718613
ENSG00000198156,chr16,-,NPIPB6,28342555,28363508
ENSG00000163738,chr4,+,MTHFD2L,74114174,74303099
ENSG00000168000,chr11,-,BSCL2,62690275,62709845
ENSG00000168702,chr2,-,LRP1B,140231423,142131701
ENSG00000148634,chr10,-,HERC4,67921899,68075348
ENSG00000140464,chr15,+,PML,73994673,74047812
ENSG00000104177,chr15,-,MYEF2,48134631,48178517
ENSG00000108510,chr17,-,MED13,61942605,62065282
ENSG00000089225,chr12,-,TBX5,114353931,114408442
ENSG00000162670,chr1,-,BRINP3,190097662,190478404
ENSG00000122674,chr7,+,CCZ1,5898725,5926550
ENSG00000198843,chr3,+,SELT,150602875,150630445
ENSG00000115758,chr2,-,ODC1,10439968,10448504
ENSG00000104522,chr8,-,TSTA3,143612618,143618048
ENSG00000123131,chrX,+,PRDX4,23664262,23686399
ENSG00000240747,chr3,+,KRBOX1,42809483,42942792
ENSG00000204767,chr5,-,FAM196B,169864264,169980740
ENSG00000173011,chr4,+,TADA2B,7041899,7057952
ENSG00000206260,chr3,-,PRR23A,139005468,139006268
ENSG00000163352,chr1,+,LENEP,154993586,154994315
ENSG00000163449,chr2,+,TMEM169,216081866,216102783
ENSG00000171643,chr5,+,S100Z,76850001,76921650
ENSG00000124181,chr20,+,PLCG1,41136960,41196801
ENSG00000104643,chr8,+,MTMR9,11284416,11328146
ENSG00000233608,chr2,+,TWIST2,238848032,238910543
ENSG00000233701,chr3,-,PRR23C,139042102,139044892
ENSG00000184887,chr14,+,BTBD6,105248490,105251093
ENSG00000149657,chr20,+,LSM14B,62122461,62135378
ENSG00000128298,chr22,-,BAIAP2L2,38084889,38110670
ENSG00000181045,chr17,+,SLC26A11,80219699,80253500
ENSG00000160888,chr19,+,IER2,13150415,13154908
ENSG00000124151,chr20,+,NCOA3,47501902,47656877
ENSG00000186529,chr19,+,CYP4F3,15615617,15662825
ENSG00000135409,chr12,+,AMHR2,53423855,53431534
ENSG00000089327,chr19,+,FXYD5,35154730,35169883
ENSG00000019991,chr7,-,HGF,81699006,81770438
ENSG00000169692,chr9,-,AGPAT2,136673143,136687423
ENSG00000126522,chr7,+,ASL,66075798,66093558
ENSG00000183251,chr11,-,OR51B4,5301014,5301996
ENSG00000067167,chr8,-,TRAM1,70573442,70608387
ENSG00000163141,chr1,+,BNIPL,151036570,151047600
ENSG00000145703,chr5,+,IQGAP2,76403249,76708132
ENSG00000179600,chr14,-,GPHB5,63312835,63318879
ENSG00000121022,chr8,-,COPS5,67043079,67083783
ENSG00000064703,chr1,+,DDX20,111755245,111768016
ENSG00000128059,chr4,-,PPAT,56393362,56435615
ENSG00000186272,chr19,+,ZNF17,57411163,57421939
ENSG00000213934,chr11,-,HBG1,5248083,5249892
ENSG00000145391,chr4,-,SETD7,139495941,139606699
ENSG00000183747,chr16,+,ACSM2A,20451461,20487667
ENSG00000186298,chr12,-,PPP1CC,110719680,110742939
ENSG00000176563,chr17,+,CNTD1,42798792,42811587
ENSG00000164124,chr4,+,TMEM144,158201604,158255411
ENSG00000086598,chr12,+,TMED2,123584531,123598577
ENSG00000173406,chr1,-,DAB1,56994778,58546734
ENSG00000151967,chr3,+,SCHIP1,159839861,159897360
ENSG00000189377,chr19,-,CXCL17,42428288,42443048
ENSG00000196805,chr1,-,SPRR2B,153070224,153070840
ENSG00000206536,chr3,+,OR5K3,98390666,98391631
ENSG00000204287,chr6,+,HLA-DRA,32439842,32445046
ENSG00000115085,chr2,+,ZAP70,97713560,97739862
ENSG00000138138,chr10,-,ATAD1,87751512,87841343
ENSG00000198482,chr19,+,ZNF808,52527652,52564464
ENSG00000007341,chr1,-,ST7L,112523518,112620825
ENSG00000236104,chr6,-,ZBTB22,33314406,33317942
ENSG00000205309,chr17,+,NT5M,17303335,17347663
ENSG00000152689,chr2,+,RASGRP3,33436324,33564750
ENSG00000160691,chr1,-,SHC1,154962298,154974395
ENSG00000066855,chr8,+,MTFR1,65644734,65771261
ENSG00000204520,chr6,+,MICA,31399784,31415315
ENSG00000198873,chr10,+,GRK5,119207589,119459742
ENSG00000156697,chrX,+,UTP14A,129906121,129929761
ENSG00000189046,chr12,-,ALKBH2,109088188,109093631
ENSG00000136271,chr7,-,DDX56,44565417,44575051
ENSG00000174059,chr1,-,CD34,207880972,207911402
ENSG00000091262,chr16,-,ABCC6,16148928,16223522
ENSG00000156482,chr8,-,RPL30,98024851,98046469
ENSG00000176222,chr19,-,ZNF404,43872363,43901385
ENSG00000184923,chr10,+,NUTM2A,87225448,87236908
ENSG00000187550,chr19,-,SBK2,55529733,55537089
ENSG00000124541,chr6,+,RRP36,43021645,43034156
ENSG00000186684,chr2,-,CYP27C1,127184120,127220078
ENSG00000148702,chr10,+,HABP2,113550837,113589602
ENSG00000092607,chr1,-,TBX15,118883046,118989556
ENSG00000164707,chr7,-,SLC13A4,135681237,135729258
ENSG00000120137,chr5,-,PANK3,168548495,168579600
ENSG00000102119,chrX,+,EMD,154379197,154381523
ENSG00000231192,chr3,+,OR5H1,98132698,98133639
ENSG00000111913,chr6,-,FAM65B,24804282,25042168
ENSG00000187583,chr1,+,PLEKHN1,966497,975865
ENSG00000198689,chrX,+,SLC9A6,135985424,136047269
ENSG00000197563,chr18,-,PIGN,62043567,62187118
ENSG00000166923,chr15,+,GREM1,32717974,32745107
ENSG00000185252,chr22,+,ZNF74,20394115,20408461
ENSG00000134247,chr1,+,PTGFRN,116910057,116990358
ENSG00000140876,chr16,+,NUDT7,77722492,77742260
ENSG00000106682,chr7,+,EIF4H,74174245,74197101
ENSG00000110697,chr11,-,PITPNM1,67491768,67506263
ENSG00000179142,chr8,-,CYP11B2,142910559,142917843
ENSG00000174442,chr15,+,ZWILCH,66504959,66550128
ENSG00000136827,chr9,-,TOR1A,129812944,129824134
ENSG00000221961,chr2,-,PRR21,240041813,240042982
ENSG00000157111,chr5,+,TMEM171,73120292,73131817
ENSG00000188958,chr3,-,UTS2B,191267168,191330536
ENSG00000075429,chr17,+,CACNG5,66835117,66885486
ENSG00000144369,chr2,+,FAM171B,186693971,186765965
ENSG00000096264,chr6,+,NCR2,41335655,41350887
ENSG00000166664,chr15,-,CHRFAM7A,30357766,30393849
ENSG00000184492,chr2,+,FOXD4L1,113498665,113501155
ENSG00000074590,chr12,-,NUAK1,106063340,106140033
ENSG00000182054,chr15,-,IDH2,90083045,90102504
ENSG00000223609,chr11,-,HBD,5232678,5235370
ENSG00000184349,chr5,-,EFNA5,107376889,107670895
ENSG00000151612,chr4,-,ZNF827,145757627,145938635
ENSG00000264230,chr10,+,ANXA8L1,46375627,46537864
ENSG00000182916,chrX,+,TCEAL7,103330196,103332326
ENSG00000185758,chr4,-,CLDN24,183321764,183322426
ENSG00000140262,chr15,+,TCF12,56918623,57299281
ENSG00000140319,chr15,-,SRP14,40035739,40039188
ENSG00000138182,chr10,+,KIF20B,89701610,89774939
ENSG00000166169,chr10,-,POLL,101578882,101588270
ENSG00000184724,chr21,-,KRTAP6-1,30613431,30613930
ENSG00000071242,chr6,-,RPS6KA2,166409364,166906451
ENSG00000125266,chr13,-,EFNB2,106489731,106535114
ENSG00000125037,chr3,-,EMC3,9962537,10011116
ENSG00000165028,chr9,+,NIPSNAP3B,104764157,104777457
ENSG00000172594,chr6,+,SMPDL3A,122789049,122809720
ENSG00000036549,chr1,-,ZZZ3,77562416,77683419
ENSG00000112116,chr6,-,IL17F,52236681,52244537
ENSG00000164902,chr5,+,PHAX,126600268,126627252
ENSG00000176978,chr9,-,DPP7,137110542,137115177
ENSG00000198642,chr9,-,KLHL9,21329671,21335380
ENSG00000203666,chr1,+,EFCAB2,244969705,245127164
ENSG00000010810,chr6,-,FYN,111660332,111873452
ENSG00000165197,chrX,-,FIGF,15345591,15384376
ENSG00000185753,chrX,-,CXorf38,40626921,40647554
ENSG00000167157,chr9,+,PRRX2,129665641,129722674
ENSG00000123352,chr12,+,SPATS2,49366584,49527424
ENSG00000175766,chr5,+,EIF4E1B,176630682,176646641
ENSG00000128512,chr7,-,DOCK4,111726110,112206411
ENSG00000132825,chr20,-,PPP1R3D,59936668,59940297
ENSG00000152359,chr5,-,POC5,75674124,75717481
ENSG00000116774,chr1,+,OLFML3,113979391,114035572
ENSG00000162267,chr3,+,ITIH3,52794768,52809009
ENSG00000183775,chr5,+,KCTD16,144170832,144485686
ENSG00000174695,chr5,-,TMEM167A,83052846,83077863
ENSG00000221890,chr22,-,NPTXR,38818452,38843982
ENSG00000196570,chr5,-,PFN3,177400107,177400636
ENSG00000187242,chr17,-,KRT12,40861303,40867210
ENSG00000196507,chrX,+,TCEAL3,103607451,103629690
ENSG00000087884,chr11,+,AAMDC,77821109,77918432
ENSG00000169604,chr2,+,ANTXR1,69013178,69249327
ENSG00000133111,chr13,+,RFXAP,36819224,36829104
ENSG00000162771,chr1,+,FAM71A,212624474,212626778
ENSG00000070886,chr1,+,EPHA8,22563564,22603594
ENSG00000112406,chr6,+,HECA,139135112,139180802
ENSG00000180423,chr11,-,HARBI1,46602861,46617909
ENSG00000127311,chr12,+,HELB,66302545,66347645
ENSG00000204482,chr6,+,LST1,31586124,31588909
ENSG00000113460,chr5,+,BRIX1,34915376,34925996
ENSG00000171402,chrX,-,XAGE3,52862525,52868068
ENSG00000106554,chr7,-,CHCHD3,132784868,133082088
ENSG00000206053,chr16,+,HN1L,1678256,1702280
ENSG00000175928,chr3,+,LRRN1,3799437,3847703
ENSG00000213937,chr16,+,CLDN9,3012456,3014505
ENSG00000196365,chr19,-,LONP1,5691834,5720572
ENSG00000165837,chr13,-,ERICH6B,45534522,45615739
ENSG00000010327,chr3,+,STAB1,52495338,52524495
ENSG00000184227,chr14,+,ACOT1,73537114,73543794
ENSG00000120868,chr12,+,APAF1,98645141,98735433
ENSG00000234469,chrX,+,CLDN34,9967358,9968352
ENSG00000105576,chr19,-,TNPO2,12699194,12724011
ENSG00000274600,chr22,+,RIMBP3B,21383374,21389478
ENSG00000169217,chr16,-,CD2BP2,30350766,30355361
ENSG00000178252,chr3,+,WDR6,49007062,49015953
ENSG00000184507,chr15,+,NUTM1,34343315,34357737
ENSG00000148300,chr9,-,REXO4,133406059,133418096
ENSG00000177917,chr2,+,ARL6IP6,152717893,152761253
ENSG00000120327,chr5,+,PCDHB14,141222932,141227759
ENSG00000171970,chr19,+,ZNF57,2900898,2918476
ENSG00000091138,chr7,-,SLC26A3,107765467,107803225
ENSG00000136870,chr9,+,ZNF189,101398873,101410660
ENSG00000112462,chr6,-,OR12D3,29373423,29375291
ENSG00000169710,chr17,-,FASN,82078333,82098332
ENSG00000164967,chr9,-,RPP25L,34610486,34612104
ENSG00000137154,chr9,-,RPS6,19375715,19380254
ENSG00000158457,chr7,+,TSPAN33,129144892,129169697
ENSG00000204052,chr6,-,LRRC73,43506969,43510686
ENSG00000138028,chr2,-,CGREF1,27098889,27119115
ENSG00000257335,chr7,+,MGAM,141907813,142106747
ENSG00000120910,chr8,+,PPP3CC,22440819,22541142
ENSG00000143322,chr1,-,ABL2,179099327,179229684
ENSG00000123552,chr6,-,USP45,99432379,99521728
ENSG00000198759,chrX,+,EGFL6,13569605,13633575
ENSG00000074966,chr4,-,TXK,48066393,48134256
ENSG00000168995,chr19,+,SIGLEC7,51142299,51153526
ENSG00000105825,chr7,-,TFPI2,93885397,93890991
ENSG00000070814,chr5,+,TCOF1,150357639,150400308
ENSG00000137285,chr6,-,TUBB2B,3224261,3231730
ENSG00000198300,chr19,-,PEG3,56810083,56840728
ENSG00000171346,chr17,-,KRT15,41513743,41522529
ENSG00000057757,chr1,+,PITHD1,23778405,23788232
ENSG00000129083,chr11,-,COPB1,14443440,14500027
ENSG00000258083,chr7,+,OR9A4,141918817,141919909
ENSG00000119397,chr9,+,CNTRL,121074863,121177610
