chromosome,start,end,orientation,name,wbid,gname
chrII,9528720,9529802,+,AH6.6,WBGene00005028,sra-2
chrII,9539211,9540763,-,AH6.7,WBGene00005029,sra-3
chrII,9541541,9542825,-,AH6.8,WBGene00005030,sra-4
chrX,2243226,2247000,-,AH9.1,WBGene00014998,
chrX,2255840,2258073,-,AH9.2,WBGene00000797,crn-4
chrX,2259144,2260518,-,AH9.3,WBGene00014999,
chrX,2271017,2274329,-,AH9.4,WBGene00015000,
chrX,2263168,2267464,-,AH9.6,WBGene00044701,
chrX,2243145,2244459,+,AH9.7,WBGene00175029,
chrIV,12129482,12135073,+,B0001.1,WBGene00003010,lin-24
chrIV,12146459,12150953,-,B0001.2,WBGene00007087,
chrIV,12143409,12145709,-,B0001.3,WBGene00007088,
chrIV,12135058,12137325,-,B0001.4,WBGene00007089,
chrIV,12141138,12143309,-,B0001.5,WBGene00007090,
chrIV,12156816,12164252,+,B0001.6,WBGene00007091,eri-12
chrIV,12150036,12154220,-,B0001.7,WBGene00007092,
chrIV,12138823,12141036,-,B0001.8,WBGene00007093,
chrI,12759576,12764950,-,B0019.1,WBGene00000138,amx-2
chrI,12773647,12782247,+,B0019.2,WBGene00007094,
chrV,10291671,10292843,-,B0024.1,WBGene00000722,col-149
chrV,10315225,10317371,-,B0024.10,WBGene00007100,
chrV,10317465,10319509,-,B0024.11,WBGene00007101,
chrV,10319509,10320161,-,B0024.12,WBGene00001646,gna-1
chrV,10320690,10322190,+,B0024.13,WBGene00007102,
chrV,10322262,10332087,-,B0024.14,WBGene00007103,crm-1
chrV,10289696,10291685,+,B0024.15,WBGene00007104,
chrV,10293493,10294596,-,B0024.2,WBGene00000723,col-150
chrV,10287539,10289247,+,B0024.3,WBGene00007096,
chrV,10297374,10298957,+,B0024.4,WBGene00007097,
chrV,10308266,10314343,-,B0024.6,WBGene00001533,gcy-6
chrV,10299448,10307329,-,B0024.8,WBGene00000491,che-12
chrV,10314616,10315751,+,B0024.9,WBGene00007099,trx-2
chrI,6028488,6033460,+,B0025.1,WBGene00006932,vps-34
chrI,6022659,6026983,+,B0025.2,WBGene00000814,csn-2
chrI,6027194,6028373,+,B0025.4,WBGene00015001,
chrI,6024153,6024957,-,B0025.5,WBGene00194700,
chrII,5970080,5972638,+,B0034.1,WBGene00015002,
chrII,5944171,5944343,-,B0034.2,WBGene00015003,
chrII,5945381,5956660,-,B0034.3,WBGene00000403,casy-1
chrII,5968110,5969033,-,B0034.4,WBGene00015004,
chrII,5972831,5974952,-,B0034.5,WBGene00015005,
chrII,5961652,5961975,+,B0034.7,WBGene00044394,
chrIV,11310950,11312475,+,B0035.1,WBGene00007105,
chrIV,11326535,11327321,+,B0035.10,WBGene00001919,his-45
chrIV,11327592,11329349,-,B0035.11,WBGene00007110,
chrIV,11329444,11332922,-,B0035.12,WBGene00007111,
chrIV,11304699,11306698,-,B0035.13,WBGene00007112,
chrIV,11298986,11304765,+,B0035.14,WBGene00001019,dnj-1
chrIV,11296969,11298397,-,B0035.15,WBGene00007113,
chrIV,11295126,11296867,-,B0035.16,WBGene00007114,
chrIV,11320298,11320621,+,B0035.18,WBGene00044290,
chrIV,11312451,11313960,-,B0035.2,WBGene00001020,dnj-2
chrIV,11314055,11315028,-,B0035.3,WBGene00007106,
chrIV,11315183,11315855,+,B0035.4,WBGene00007107,pfd-4
chrIV,11317395,11319928,+,B0035.5,WBGene00007108,gspd-1
chrIV,11320778,11323614,+,B0035.6,WBGene00007109,
chrIV,11323863,11324448,-,B0035.7,WBGene00001921,his-47
chrIV,11324697,11325200,+,B0035.8,WBGene00001922,his-48
chrIV,11325996,11326307,-,B0035.9,WBGene00001920,his-46
chrI,4664500,4665349,+,B0041.1,WBGene00015006,
chrI,4653472,4660152,+,B0041.2,WBGene00015007,ain-2
chrI,4644438,4645627,+,B0041.3,WBGene00015008,lmd-2
chrI,4645637,4646966,-,B0041.4,WBGene00004415,rpl-4
chrI,4648270,4650771,-,B0041.5,WBGene00015009,
chrI,4652144,4652907,-,B0041.6,WBGene00015010,ptps-1
chrI,4665745,4671739,-,B0041.7,WBGene00006961,xnp-1
chrI,4647310,4648279,+,B0041.8,WBGene00015011,
chrII,2040276,2041620,-,B0047.1,WBGene00015012,bath-20
chrII,2043028,2044109,-,B0047.2,WBGene00015013,btb-3
chrII,2044629,2046589,-,B0047.3,WBGene00015014,bath-24
chrII,2045968,2046661,-,B0047.4,WBGene00015015,math-1
chrX,12031378,12033969,-,B0198.1,WBGene00006646,tsp-20
chrX,12028643,12031549,+,B0198.2,WBGene00007115,
chrX,12042548,12049279,-,B0198.3,WBGene00007116,
chrI,10713439,10718190,-,B0205.1,WBGene00015017,
chrI,10708352,10710364,+,B0205.10,WBGene00015024,
chrI,10732531,10733674,-,B0205.11,WBGene00015025,mrpl-9
chrI,10730456,10730701,+,B0205.12,WBGene00044413,
chrI,10727740,10728784,-,B0205.13,WBGene00044644,
chrI,10726907,10727340,+,B0205.14,WBGene00044646,
chrI,10724150,10726125,-,B0205.2,WBGene00015018,srz-85
chrI,10730718,10732437,-,B0205.3,WBGene00004466,rpn-10
chrI,10741358,10744432,-,B0205.4,WBGene00015019,
chrI,10740207,10740579,+,B0205.5,WBGene00015020,
chrI,10736686,10739900,+,B0205.6,WBGene00015021,
chrI,10734011,10736610,+,B0205.7,WBGene00002191,kin-3
chrI,10728884,10730226,-,B0205.8,WBGene00015022,
chrI,10720815,10723580,+,B0205.9,WBGene00015023,
chrI,5965064,5967213,+,B0207.1,WBGene00015026,
chrI,5959010,5959528,-,B0207.10,WBGene00015033,
chrI,5962954,5964128,-,B0207.11,WBGene00015034,
chrI,5967253,5973322,-,B0207.12,WBGene00000232,avr-14
chrI,5955032,5956885,+,B0207.2,WBGene00015027,
chrI,5942421,5945539,+,B0207.3,WBGene00001676,gpa-14
chrI,5937479,5938887,+,B0207.4,WBGene00000099,air-2
chrI,5919789,5935418,+,B0207.5,WBGene00015028,
chrI,5935372,5936946,-,B0207.6,WBGene00015029,
chrI,5945759,5947344,-,B0207.7,WBGene00015030,
chrI,5951138,5951744,-,B0207.8,WBGene00015031,
chrI,5957462,5958361,-,B0207.9,WBGene00015032,
chrIV,3572467,3577625,+,B0212.1,WBGene00015035,otpl-1
chrIV,3565197,3567810,+,B0212.2,WBGene00015036,sre-5
chrIV,3540184,3543598,+,B0212.3,WBGene00015037,
chrIV,3543624,3547596,-,B0212.4,WBGene00015038,nstp-6
chrIV,3550884,3557427,-,B0212.5,WBGene00003889,osm-9
chrV,3955751,3957700,-,B0213.10,WBGene00015040,cyp-34A5
chrV,3958224,3961174,-,B0213.11,WBGene00015041,cyp-34A6
chrV,3961745,3963800,-,B0213.12,WBGene00015042,cyp-34A7
chrV,3964764,3967856,-,B0213.14,WBGene00015043,cyp-34A8
chrV,3968118,3970499,-,B0213.15,WBGene00015044,cyp-34A9
chrV,3970697,3972986,-,B0213.16,WBGene00015045,cyp-34A10
chrV,3978811,3979119,-,B0213.17,WBGene00015046,nlp-34
chrV,3989076,3989755,+,B0213.2,WBGene00003765,nlp-27
chrV,3987885,3988302,+,B0213.3,WBGene00003766,nlp-28
chrV,3984398,3984834,+,B0213.4,WBGene00003767,nlp-29
chrV,3981965,3982730,+,B0213.5,WBGene00003768,nlp-30
chrV,3980040,3980614,+,B0213.6,WBGene00003769,nlp-31
chrV,3977249,3978796,+,B0213.7,WBGene00006142,str-83
chrV,3974646,3976249,+,B0213.8,WBGene00006141,str-82
chrV,3954024,3955445,+,B0213.9,WBGene00006274,str-247
chrIV,8159344,8162028,+,B0218.1,WBGene00015047,faah-1
chrIV,8152429,8154845,+,B0218.2,WBGene00015048,faah-2
chrIV,8148780,8150727,+,B0218.3,WBGene00004055,pmk-1
chrIV,8155237,8156433,-,B0218.5,WBGene00015049,
chrIV,8161738,8163781,-,B0218.6,WBGene00015050,clec-51
chrIV,8164580,8166064,-,B0218.7,WBGene00015051,
chrIV,8167149,8168760,-,B0218.8,WBGene00015052,clec-52
chrV,9134277,9135553,+,B0222.1,WBGene00015053,
chrV,9158361,9159515,+,B0222.10,WBGene00015058,
chrV,9165797,9168018,-,B0222.11,WBGene00044582,
chrV,9135634,9137696,-,B0222.2,WBGene00015054,pitr-2
chrV,9138928,9141375,-,B0222.3,WBGene00015055,pitr-3
chrV,9144593,9146877,-,B0222.4,WBGene00006418,tag-38
chrV,9152299,9154850,-,B0222.5,WBGene00015056,
chrV,9159619,9160640,-,B0222.6,WBGene00000717,col-144
chrV,9162028,9162982,-,B0222.7,WBGene00000718,col-145
chrV,9164272,9165284,-,B0222.8,WBGene00000599,col-10
chrV,9168369,9173001,-,B0222.9,WBGene00015057,gad-3
chrII,7755956,7756856,+,B0228.1,WBGene00015059,
chrII,7724850,7752673,+,B0228.4,WBGene00015061,cpna-2
chrII,7752517,7753554,-,B0228.5,WBGene00015062,trx-1
chrII,7754515,7755104,-,B0228.6,WBGene00015063,
chrII,7757135,7758387,-,B0228.7,WBGene00015064,
chrII,7759658,7761488,-,B0228.8,WBGene00015065,
chrII,7762010,7763617,-,B0228.9,WBGene00015066,
chrV,5240754,5243120,-,B0238.1,WBGene00015067,
chrV,5274058,5275546,+,B0238.10,WBGene00015074,
chrV,5269467,5270728,+,B0238.11,WBGene00015075,
chrV,5267806,5268807,+,B0238.12,WBGene00015076,
chrV,5243713,5248024,-,B0238.13,WBGene00015077,
chrV,5240173,5240435,+,B0238.15,WBGene00044537,
chrV,5250588,5252100,-,B0238.3,WBGene00015068,srt-68
chrV,5256126,5257407,-,B0238.5,WBGene00015069,srt-67
chrV,5258020,5259532,-,B0238.6,WBGene00015070,srt-70
chrV,5260316,5263083,-,B0238.7,WBGene00015071,
chrV,5263935,5265760,-,B0238.8,WBGene00015072,srt-69
chrV,5275533,5278290,-,B0238.9,WBGene00015073,
chrV,11727880,11730142,-,B0240.1,WBGene00004359,rhr-2
chrV,11733526,11736950,-,B0240.2,WBGene00007117,spe-42
chrV,11718071,11725634,-,B0240.3,WBGene00000907,daf-11
chrV,11730974,11733461,-,B0240.4,WBGene00007118,npp-22
chrIII,5733951,5737469,+,B0244.10,WBGene00015085,
chrIII,5767837,5768620,+,B0244.11,WBGene00015086,
chrIII,5755493,5765769,+,B0244.2,WBGene00002048,ida-1
chrIII,5747439,5751562,+,B0244.4,WBGene00015079,
chrIII,5744833,5747149,+,B0244.5,WBGene00015080,
chrIII,5737962,5744774,+,B0244.6,WBGene00015081,
chrIII,5731455,5732808,+,B0244.7,WBGene00015082,
chrIII,5728132,5730348,+,B0244.8,WBGene00015083,egg-1
chrIII,5730074,5730965,-,B0244.9,WBGene00015084,
chrV,20479656,20480815,+,B0250.1,WBGene00004413,rpl-2
chrV,20487614,20489171,-,B0250.10,WBGene00007127,srbc-78
chrV,20476717,20479058,-,B0250.2,WBGene00007119,calf-1
chrV,20458623,20464455,-,B0250.4,WBGene00007121,
chrV,20493893,20497315,+,B0250.5,WBGene00007122,
chrV,20490740,20492454,-,B0250.6,WBGene00007123,srbc-79
chrV,20469672,20470454,-,B0250.8,WBGene00007125,
chrV,20480761,20485354,-,B0250.9,WBGene00007126,dhcr-7
chrII,6919687,6923621,+,B0252.1,WBGene00015087,
chrII,6910028,6912653,+,B0252.2,WBGene00000211,asm-1
chrII,6902826,6907713,-,B0252.3,WBGene00015088,
chrII,6912498,6913321,-,B0252.4,WBGene00000886,cyn-10
chrII,6916949,6918878,-,B0252.5,WBGene00015089,
chrII,6916112,6916923,+,B0252.8,WBGene00044615,
chrI,5263697,5268387,+,B0261.1,WBGene00015091,
chrI,5245743,5263429,+,B0261.2,WBGene00002583,let-363
chrI,5244286,5245526,+,B0261.4,WBGene00015092,mrpl-47
chrI,5249775,5250440,-,B0261.5,WBGene00015093,
chrI,5255450,5256926,-,B0261.6,WBGene00015094,
chrI,5269547,5270937,-,B0261.7,WBGene00015095,
chrI,5271280,5272040,-,B0261.8,WBGene00015096,
chrI,5268422,5269466,+,B0261.9,WBGene00195057,
chrX,9434393,9436834,-,B0272.1,WBGene00006538,tbb-4
chrX,9440339,9441505,-,B0272.2,WBGene00007128,memb-1
chrX,9431366,9432689,+,B0272.3,WBGene00007129,
chrX,9428372,9430264,+,B0272.4,WBGene00007130,
chrIV,5493986,5495241,+,B0273.1,WBGene00015097,
chrIV,5486676,5490322,+,B0273.2,WBGene00004243,puf-7
chrIV,5484037,5486201,-,B0273.3,WBGene00015098,snpc-3.1
chrIV,5495657,5516256,-,B0273.4,WBGene00006745,unc-5
chrIII,7133727,7136401,+,B0280.1,WBGene00015099,ggtb-1
chrIII,7131972,7133616,-,B0280.10,WBGene00015105,pot-1
chrIII,7136446,7138216,-,B0280.11,WBGene00015106,
chrIII,7138621,7144770,-,B0280.12,WBGene00001613,glr-2
chrIII,7128837,7131986,+,B0280.13,WBGene00015107,
chrIII,7134960,7136065,-,B0280.17,WBGene00044674,
chrIII,7124602,7128320,+,B0280.2,WBGene00015100,
chrIII,7123062,7124270,+,B0280.3,WBGene00015101,rpia-1
chrIII,7108260,7109248,+,B0280.4,WBGene00003845,odd-1
chrIII,7102024,7103930,-,B0280.5,WBGene00015102,cpg-2
chrIII,7110241,7111811,-,B0280.7,WBGene00015103,
chrIII,7112237,7115378,-,B0280.8,WBGene00003609,nhr-10
chrIII,7120842,7122833,-,B0280.9,WBGene00015104,
chrII,2313072,2314932,+,B0281.1,WBGene00015108,
chrII,2307046,2308356,+,B0281.3,WBGene00015110,
chrII,2297852,2298798,-,B0281.4,WBGene00015111,
chrII,2299845,2300887,-,B0281.5,WBGene00015112,
chrII,2301313,2302234,-,B0281.6,WBGene00015113,
chrII,2311495,2312852,-,B0281.8,WBGene00015114,
chrIII,4376475,4379172,+,B0284.1,WBGene00007131,
chrIII,4381711,4384113,+,B0284.2,WBGene00007132,
chrIII,4379340,4381013,-,B0284.3,WBGene00007133,
chrIII,4384759,4387729,+,B0284.4,WBGene00007134,
chrIII,4333369,4340455,+,B0285.1,WBGene00007135,cdk-12
chrIII,4370857,4372792,+,B0285.10,WBGene00000513,ckb-3
chrIII,4341657,4343308,-,B0285.3,WBGene00007136,
chrIII,4343433,4345194,+,B0285.4,WBGene00007137,
chrIII,4345309,4350051,+,B0285.5,WBGene00002003,hse-5
chrIII,4352218,4355860,+,B0285.6,WBGene00007138,
chrIII,4356511,4364944,+,B0285.7,WBGene00007139,mnp-1
chrIII,4365347,4367441,+,B0285.8,WBGene00000511,ckb-1
chrIII,4367804,4370132,+,B0285.9,WBGene00000512,ckb-2
chrII,4378659,4386355,+,B0286.1,WBGene00015115,
chrII,4359086,4368285,+,B0286.2,WBGene00002252,lat-2
chrII,4369629,4372572,-,B0286.3,WBGene00015116,
chrII,4372744,4376745,-,B0286.4,WBGene00003825,ntl-2
chrII,4379886,4383290,-,B0286.5,WBGene00001438,fkh-6
chrII,4368494,4447363,+,B0286.6,WBGene00023425,try-9
chrX,1896657,1897337,-,B0294.1,WBGene00015117,
chrX,1892181,1893266,+,B0294.3,WBGene00015118,
chrX,17186066,17193219,+,B0302.1,WBGene00002207,sid-3
chrX,17178465,17178918,+,B0302.2,WBGene00015119,
chrX,17176416,17176703,-,B0302.4,WBGene00015121,
chrX,17193224,17195044,-,B0302.5,WBGene00015122,
chrIII,8703226,8710031,-,B0303.11,WBGene00015131,
chrIII,8713908,8716103,-,B0303.14,WBGene00015132,
chrIII,8717561,8718486,+,B0303.15,WBGene00015133,mrpl-11
chrIII,8705030,8706266,+,B0303.16,WBGene00044678,
chrIII,8684727,8686400,+,B0303.2,WBGene00015124,anmt-1
chrIII,8686037,8688396,-,B0303.3,WBGene00015125,
chrIII,8689769,8693393,+,B0303.4,WBGene00015126,
chrIII,8693557,8699374,+,B0303.7,WBGene00015128,
chrIII,8699402,8700254,-,B0303.8,WBGene00015129,sdz-1
chrIII,8700848,8703225,+,B0303.9,WBGene00015130,vps-33.1
chrII,4519066,4522434,+,B0304.1,WBGene00001948,hlh-1
chrII,4523612,4524523,+,B0304.2,WBGene00015134,
chrII,4512208,4522763,+,B0304.3,WBGene00015135,cyp-23A1
chrII,4522459,4523219,-,B0304.4,WBGene00015136,
chrII,4529633,4531961,-,B0304.5,WBGene00005058,sra-32
chrII,4534739,4537238,-,B0304.6,WBGene00005059,sra-33
chrII,4541862,4543665,-,B0304.7,WBGene00005060,sra-34
chrII,4524631,4527897,-,B0304.8,WBGene00005061,sra-35
chrII,4538985,4540728,-,B0304.9,WBGene00005062,sra-36
chrX,493237,497214,+,B0310.1,WBGene00015137,
chrX,501966,506944,-,B0310.2,WBGene00015138,
chrX,510900,514483,-,B0310.3,WBGene00015139,
chrX,525929,530177,-,B0310.5,WBGene00015141,ugt-46
chrX,530626,530962,-,B0310.6,WBGene00015142,
chrV,9654681,9657925,+,B0331.1,WBGene00007140,cyp-29A4
chrV,9658907,9661590,-,B0331.2,WBGene00007141,pitr-4
chrII,11485446,11486710,-,B0334.1,WBGene00007142,ttr-18
chrII,11518424,11519507,+,B0334.10,WBGene00007148,
chrII,11493167,11495250,-,B0334.11,WBGene00003868,ooc-3
chrII,11488223,11489555,+,B0334.13,WBGene00007149,
chrII,11496714,11499556,+,B0334.15,WBGene00195248,emc-5
chrII,11483137,11485295,-,B0334.2,WBGene00006660,twk-5
chrII,11489541,11492957,-,B0334.3,WBGene00007143,
chrII,11495628,11496605,+,B0334.4,WBGene00007144,
chrII,11496714,11499559,+,B0334.5,WBGene00007145,
chrII,11510611,11513826,+,B0334.6,WBGene00007146,
chrII,11515011,11518090,+,B0334.7,WBGene00005267,srh-44
chrII,11519435,11526998,-,B0334.8,WBGene00000090,age-1
chrIII,5722804,5727068,+,B0336.1,WBGene00006943,wrm-1
chrIII,5705468,5706281,-,B0336.10,WBGene00004435,rpl-23
chrIII,5706692,5709284,-,B0336.11,WBGene00015148,hpo-28
chrIII,5710017,5710464,-,B0336.12,WBGene00015149,
chrIII,5693991,5695178,+,B0336.13,WBGene00015150,
chrIII,5716068,5717541,+,B0336.2,WBGene00000182,arf-1.2
chrIII,5711503,5714801,+,B0336.3,WBGene00015143,
chrIII,5698390,5702257,+,B0336.4,WBGene00004348,rgs-5
chrIII,5692875,5693893,+,B0336.5,WBGene00015145,
chrIII,5690062,5692695,-,B0336.6,WBGene00015146,abi-1
chrIII,5694690,5697320,-,B0336.7,WBGene00015147,
chrIII,5697431,5697964,-,B0336.8,WBGene00002982,lgg-3
chrIII,5702210,5705421,-,B0336.9,WBGene00006359,swp-1
chrX,1576630,1590890,+,B0344.2,WBGene00006955,wrt-9
chrV,48922,49619,+,B0348.1,WBGene00015151,
chrV,45463,46923,+,B0348.2,WBGene00015152,
chrV,20825,43971,+,B0348.4,WBGene00001177,egl-8
chrV,5690,6511,+,B0348.5,WBGene00015153,
chrV,6589,7822,-,B0348.6,WBGene00002061,ife-3
chrIV,5966644,6004847,+,B0350.2,WBGene00006780,unc-44
chrIII,557515,572134,+,B0353.1,WBGene00015155,
chrIII,7285914,7287541,-,B0361.10,WBGene00015164,ykt-6
chrIII,7277540,7281153,+,B0361.11,WBGene00015165,
chrIII,7293568,7308300,+,B0361.2,WBGene00015156,
chrIII,7281340,7283892,+,B0361.3,WBGene00015157,
chrIII,7258949,7268422,+,B0361.4,WBGene00015158,
chrIII,7268351,7275334,-,B0361.5,WBGene00015159,psd-1
chrIII,7275441,7277210,-,B0361.6,WBGene00015160,
chrIII,7283857,7285819,-,B0361.7,WBGene00015161,pho-5
chrIII,7287783,7290500,-,B0361.8,WBGene00015162,
chrIII,7298284,7299579,-,B0361.9,WBGene00015163,
chrV,13116488,13120120,+,B0365.1,WBGene00007150,acly-2
chrV,13126392,13129982,-,B0365.3,WBGene00001137,eat-6
chrV,13131913,13134843,-,B0365.5,WBGene00007152,clec-225
chrV,13134926,13138071,-,B0365.6,WBGene00007153,clec-41
chrV,13138966,13150276,+,B0365.7,WBGene00007154,dhc-3
chrI,10074958,10077739,+,B0379.1,WBGene00007155,
chrI,10070912,10071819,-,B0379.2,WBGene00007156,
chrI,10080141,10086280,+,B0379.3,WBGene00003508,mut-16
chrI,10086381,10102001,-,B0379.4,WBGene00007054,scpl-1
chrI,10097306,10097766,+,B0379.6,WBGene00007158,
chrI,10072571,10074376,-,B0379.7,WBGene00007159,
chrV,15585678,15592966,+,B0391.10,WBGene00007165,
chrV,15600341,15602326,-,B0391.11,WBGene00007166,fbxa-152
chrV,15613167,15614949,+,B0391.12,WBGene00006289,str-263
chrV,15614918,15617592,-,B0391.3,WBGene00007161,
chrV,15610871,15612572,+,B0391.4,WBGene00006080,str-12
chrV,15605705,15610361,-,B0391.5,WBGene00007162,fbxa-153
chrV,15602896,15605136,-,B0391.6,WBGene00007163,fbxa-154
chrV,15593443,15593780,-,B0391.9,WBGene00007164,fbxa-139
chrIII,4752864,4754048,-,B0393.1,WBGene00004469,rps-0
chrIII,4754397,4756984,+,B0393.2,WBGene00007167,rbg-3
chrIII,4757213,4759696,+,B0393.3,WBGene00007168,
chrIII,4759707,4763574,-,B0393.4,WBGene00007169,
chrIII,4765783,4776242,+,B0393.5,WBGene00007170,
chrIII,4780124,4781946,-,B0393.6,WBGene00007171,
chrIII,4776229,4778030,-,B0393.7,WBGene00007172,
chrIII,4751843,4752335,-,B0393.8,WBGene00007173,
chrIII,4778355,4780123,-,B0393.9,WBGene00044636,
chrX,16017447,16021677,+,B0395.1,WBGene00003729,nhx-1
chrX,16030734,16034744,+,B0395.2,WBGene00007174,mboa-1
chrX,16034975,16039442,-,B0395.3,WBGene00007175,
chrV,19565356,19606090,+,B0399.1,WBGene00007176,kcnl-1
chrV,19550986,19555842,-,B0399.2,WBGene00007177,oac-1
chrX,7050584,7055330,+,B0403.2,WBGene00006712,ubc-17
chrX,7061805,7063286,-,B0403.3,WBGene00015167,
chrX,7066301,7068519,-,B0403.4,WBGene00015168,pdi-6
chrX,7057764,7061638,+,B0403.5,WBGene00015169,
chrX,7071346,7075293,-,B0403.6,WBGene00043982,
chrX,2894564,2895235,+,B0410.1,WBGene00015170,
chrX,2885859,2890593,+,B0410.2,WBGene00015171,vang-1
chrX,2890566,2891483,-,B0410.3,WBGene00015172,
chrIII,816240,821723,+,B0412.1,WBGene00000895,dac-1
chrIII,811822,813758,+,B0412.2,WBGene00000903,daf-7
chrIII,795131,809434,+,B0412.3,WBGene00015173,trpp-11
chrIII,794289,795072,+,B0412.4,WBGene00004498,rps-29
chrI,5801875,5803269,+,B0414.1,WBGene00015175,srz-4
chrI,5776157,5788612,+,B0414.2,WBGene00004393,rnt-1
chrI,5774588,5775613,+,B0414.3,WBGene00001856,hil-5
chrI,5788634,5791755,-,B0414.5,WBGene00000772,cpb-3
chrI,5792327,5795124,-,B0414.6,WBGene00001600,glh-3
chrI,5795407,5801302,-,B0414.7,WBGene00003472,mtk-1
chrI,5803962,5807294,-,B0414.8,WBGene00015176,vps-51
chrX,9303665,9310424,+,B0416.1,WBGene00015177,tmc-2
chrX,9299112,9300072,+,B0416.2,WBGene00015178,
chrX,9291592,9293587,+,B0416.3,WBGene00015179,
chrX,9278903,9279887,+,B0416.4,WBGene00015180,
chrX,9268573,9270794,-,B0416.5,WBGene00015181,
chrX,9293607,9296563,-,B0416.6,WBGene00001638,gly-13
chrX,9296886,9297891,-,B0416.7,WBGene00015182,
chrII,297399,299527,+,B0432.1,WBGene00015183,
chrII,283887,286275,-,B0432.10,WBGene00015191,
chrII,293864,294642,-,B0432.11,WBGene00015192,
chrII,296275,297017,-,B0432.12,WBGene00015193,clec-117
chrII,276212,282576,-,B0432.13,WBGene00015194,
chrII,264353,265841,+,B0432.14,WBGene00044640,
chrII,290581,291861,+,B0432.2,WBGene00015184,djr-1.1
chrII,288937,290399,+,B0432.3,WBGene00015185,mrpl-41
chrII,286625,288850,+,B0432.4,WBGene00015186,misc-1
chrII,257819,261063,+,B0432.5,WBGene00000296,cat-2
chrII,266447,269280,-,B0432.6,WBGene00015187,
chrII,269390,273966,-,B0432.7,WBGene00015188,
chrII,276426,278738,-,B0432.8,WBGene00015189,
chrII,280556,283697,-,B0432.9,WBGene00015190,
chrII,3056644,3060251,+,B0454.1,WBGene00002997,lin-8
chrII,3046222,3048157,+,B0454.10,WBGene00005542,sri-30
chrII,3051006,3052325,+,B0454.2,WBGene00005543,sri-31
chrII,3048681,3050438,+,B0454.3,WBGene00005540,sri-28
chrII,3044326,3046118,+,B0454.4,WBGene00005541,sri-29
chrII,3038862,3040825,+,B0454.5,WBGene00015196,
chrII,3032783,3036125,+,B0454.6,WBGene00015197,
chrII,3020564,3023434,-,B0454.7,WBGene00015198,clec-2
chrII,3040943,3043409,-,B0454.8,WBGene00015199,
chrII,3052378,3054351,-,B0454.9,WBGene00015200,
chrII,8896780,8908592,+,B0457.1,WBGene00002251,lat-1
chrII,8924510,8926517,-,B0457.2,WBGene00007178,
chrII,8910852,8911968,-,B0457.4,WBGene00007179,
chrII,8922390,8924311,+,B0457.6,WBGene00007180,
chrV,18324994,18328763,+,B0462.1,WBGene00007181,
chrV,18318567,18319748,+,B0462.3,WBGene00007182,fbxb-119
chrV,18329084,18331151,-,B0462.4,WBGene00007183,
chrV,18322187,18323299,-,B0462.5,WBGene00194695,
chrIII,9489078,9491152,-,B0464.1,WBGene00001094,dars-1
chrIII,9491220,9497236,+,B0464.2,WBGene00007184,
chrIII,9488534,9489102,+,B0464.3,WBGene00007185,nlp-36
